title,body,rating,review_date,reviewer_name,reviewer_email,product_id,product_handle,reply,picture_urls
Perfect for our lifestyle,My baby went from needing to be rocked for 45 minutes to falling asleep in this carrier in under 10 minutes. Life is different now.,5,2023-07-19 00:00:00 UTC,Dennis Campbell,dennis.campbell@yahoo.com,,nestli-embrace-sling-carrier,,
Worth every single penny,The fabric is breathable enough that we used it all summer without baby overheating. Such a thoughtful design.,5,2023-11-09 00:00:00 UTC,Mia Robinson,mrobinson745@msn.com,,nestli-embrace-sling-carrier,,
Recommend for most moms,"Good carrier, my baby seems happy in it. I wish it came in more colors for my wardrobe but functionally it works great. Would recommend.",4,2023-07-13 00:00:00 UTC,Madelyn Evans,madelynevans327@hotmail.com,,nestli-embrace-sling-carrier,,
"Good quality, learning curve",Great carrier and I use it daily. The only thing I'd change is the carry pouch — it's a bit small. But the carrier itself is 5 stars.,4,2024-08-12 00:00:00 UTC,Gregory Price,gregory.price@aol.com,,nestli-embrace-sling-carrier,,
Solid carrier overall,Works great for my petite frame. Had to watch a video to get the fit right but after that it's been perfect. Baby loves the closeness.,4,2024-03-25 00:00:00 UTC,Ava Scott,ava520@icloud.com,,nestli-embrace-sling-carrier,,
Really great carrier,"Good carrier, my baby seems happy in it. I wish it came in more colors for my wardrobe but functionally it works great. Would recommend.",4,2025-01-29 00:00:00 UTC,Ashley Morgan,ashley.morgan@outlook.com,,nestli-embrace-sling-carrier,,
Baby falls asleep in minutes,Bought this as a gift for my sister's baby shower. She texted me a week later saying it's the only thing that calms her baby.,5,2024-06-13 00:00:00 UTC,Brooklyn Edwards,brooklyn.edwards817@gmail.com,,nestli-embrace-sling-carrier,,
Airport essential,Ordered this as a last resort after my velcro baby refused to be put down for 3 months. Should have ordered it on day 1. So easy to use and baby loves it.,5,2023-12-28 00:00:00 UTC,Josephine Cooper,josephine940@yahoo.com,,nestli-embrace-sling-carrier,,
My newborn loves it,My baby went from needing to be rocked for 45 minutes to falling asleep in this carrier in under 10 minutes. Life is different now.,5,2024-07-28 00:00:00 UTC,Autumn Ward,award990@msn.com,,nestli-embrace-sling-carrier,,
Obsessed with this thing,I run a mom and baby yoga class. I recommend this carrier to every single student. Half of them come back and say it changed their life.,5,2025-07-25 00:00:00 UTC,Sarah Walker,sarah_walker@aol.com,,nestli-embrace-sling-carrier,,
Solid 4 stars from me,Really great carrier overall. Took me about 3 tries to get the fit right but once I figured it out I love it. Baby seems comfortable and I have both hands free.,4,2023-03-14 00:00:00 UTC,Gary Fisher,garyfisher@outlook.com,,nestli-embrace-sling-carrier,,
5 stars isn't enough,"I've tried 3 different carriers before this one. Returned all of them. The Nestli goes on in seconds, I barely feel the weight, and my son falls asleep in it every single time.",5,2025-06-13 00:00:00 UTC,Grace James,grace_james117@yahoo.com,,nestli-embrace-sling-carrier,,
My sanity saver,"The quality is incredible. Stitching is perfect, fabric is so soft against baby skin. Washed it 40+ times and it still looks brand new.",5,2024-01-17 00:00:00 UTC,Christopher Mitchell,mitchell_c628@gmail.com,,nestli-embrace-sling-carrier,,
Best baby gear purchase,Bought this because a mom in my birth class had one. Now 6 women from that class have this carrier. We call ourselves the Nestli moms.,5,2023-03-17 00:00:00 UTC,Raymond Kelly,raymond_kelly@gmail.com,,nestli-embrace-sling-carrier,,
"Great carrier, wish it came with more colors",Really happy with the purchase. Slight learning curve but nothing that a YouTube tutorial didn't solve. Baby is calm and I'm hands-free.,4,2024-02-22 00:00:00 UTC,Nathan Gray,nathan.gray576@gmail.com,,nestli-embrace-sling-carrier,,
My velcro baby is finally calm,My second baby is so much calmer than my first was — I think it's entirely because I used this carrier from day 1. Skin-to-skin while getting things done.,5,2024-05-30 00:00:00 UTC,Lily Perry,lperry697@live.com,,nestli-embrace-sling-carrier,,
"Nice carrier, minor issue with strap",Works great for my petite frame. Had to watch a video to get the fit right but after that it's been perfect. Baby loves the closeness.,4,2025-07-29 00:00:00 UTC,Jacob Ortiz,jacob931@outlook.com,,nestli-embrace-sling-carrier,,
"Goodbye stroller, hello Nestli",My son is 20 months and 26 pounds. I still carry him in this when he's tired on walks. Zero shoulder pain.,5,2025-01-08 00:00:00 UTC,Savannah Howard,howards@live.com,,nestli-embrace-sling-carrier,,
Good but takes practice,Really great carrier overall. Took me about 3 tries to get the fit right but once I figured it out I love it. Baby seems comfortable and I have both hands free.,4,2023-05-20 00:00:00 UTC,Paisley Kelly,paisley200@outlook.com,,nestli-embrace-sling-carrier,,
Dad approved!,My postpartum anxiety was through the roof until I started babywearing. Having her close and being able to feel her breathing calmed both of us down.,5,2024-01-02 00:00:00 UTC,Emily Garcia,egarcia210@outlook.com,,nestli-embrace-sling-carrier,,
Absolute game changer!,Brought this to a family reunion. Every aunt and uncle took a turn. Nobody could believe how easy it was to put on. Orders came in from 3 family members.,5,2025-03-08 00:00:00 UTC,Kayla Bailey,kayla.bailey@outlook.com,,nestli-embrace-sling-carrier,,
Finally a carrier that actually works,Bought this because a mom in my birth class had one. Now 6 women from that class have this carrier. We call ourselves the Nestli moms.,5,2023-11-12 00:00:00 UTC,Gary Hughes,garyhughes@hotmail.com,,nestli-embrace-sling-carrier,,
Bought 2 — one for grandma too,Brought this to a family reunion. Every aunt and uncle took a turn. Nobody could believe how easy it was to put on. Orders came in from 3 family members.,5,2025-08-27 00:00:00 UTC,Grace Perry,perry.g@gmail.com,,nestli-embrace-sling-carrier,,
10/10 no notes,I was nervous about ring slings but the setup guide was so clear. Had it on correctly the first try. Baby was happy immediately.,5,2023-05-11 00:00:00 UTC,Samantha Rogers,samantha775@gmail.com,,nestli-embrace-sling-carrier,,
My pediatrician approved it,"I've tried 3 different carriers before this one. Returned all of them. The Nestli goes on in seconds, I barely feel the weight, and my son falls asleep in it every single time.",5,2025-06-24 00:00:00 UTC,Eleanor Young,eleanor309@hotmail.com,,nestli-embrace-sling-carrier,,
Best carrier I've ever owned,My postpartum anxiety was through the roof until I started babywearing. Having her close and being able to feel her breathing calmed both of us down.,5,2023-07-19 00:00:00 UTC,Gary Evans,evans_g998@live.com,,nestli-embrace-sling-carrier,,
Good but takes practice,Good quality product. Baby is content in it and I can actually get things done. Would give 5 stars but it took some practice to get the tightness right.,4,2024-12-18 00:00:00 UTC,Arianna Reed,arianna.reed@yahoo.com,,nestli-embrace-sling-carrier,,
Solid 4 stars from me,"Good carrier, my baby seems happy in it. I wish it came in more colors for my wardrobe but functionally it works great. Would recommend.",4,2024-12-02 00:00:00 UTC,Aria Morgan,aria_morgan155@icloud.com,,nestli-embrace-sling-carrier,,
"Great quality, took time to adjust",Solid product. The strap is wide and comfortable. I gave 4 stars because I wish the setup instructions were a bit clearer with pictures. But the carrier itself is great.,4,2024-05-11 00:00:00 UTC,Emery Parker,parkere@gmail.com,,nestli-embrace-sling-carrier,,
"Good quality, learning curve","Good carrier, my baby seems happy in it. I wish it came in more colors for my wardrobe but functionally it works great. Would recommend.",4,2023-05-27 00:00:00 UTC,Valentina Lopez,lopez_v691@msn.com,,nestli-embrace-sling-carrier,,
Hands free finally!!!,Took this to Disney World. Walked 12 hours with a 15-month-old in this carrier. My back felt completely fine. My husband was jealous.,5,2024-08-24 00:00:00 UTC,Nova Clark,clark_n@aol.com,,nestli-embrace-sling-carrier,,
Bought 2 — one for grandma too,Ordered this as a last resort after my velcro baby refused to be put down for 3 months. Should have ordered it on day 1. So easy to use and baby loves it.,5,2023-06-26 00:00:00 UTC,Leah Hughes,leah@hotmail.com,,nestli-embrace-sling-carrier,,
Exceeded all my expectations,My husband said carriers looked too complicated. I ordered this without telling him. He tried it once and now he uses it more than I do. He calls it his dad superpower.,5,2023-11-12 00:00:00 UTC,Daniel Nguyen,dnguyen@icloud.com,,nestli-embrace-sling-carrier,,
Best carrier I've ever owned,My son has reflux and needs to stay upright after feeds. This carrier keeps him perfectly positioned and he's so much more comfortable.,5,2023-09-21 00:00:00 UTC,Sophia Hall,sophia909@aol.com,,nestli-embrace-sling-carrier,,
Absolute game changer!,I work from home and wear this during calls. Baby is calm and quiet and I look completely professional. Game changing for WFH moms.,5,2023-07-02 00:00:00 UTC,Madeline Allen,madeline_allen@live.com,,nestli-embrace-sling-carrier,,
Baby falls asleep in minutes,Was skeptical after spending money on other carriers that hurt my back. This one is genuinely different. Wide padded strap makes all the difference.,5,2025-03-26 00:00:00 UTC,Caroline Bailey,caroline.bailey901@yahoo.com,,nestli-embrace-sling-carrier,,
She stopped crying the second I put it on,Ordered this as a last resort after my velcro baby refused to be put down for 3 months. Should have ordered it on day 1. So easy to use and baby loves it.,5,2023-08-16 00:00:00 UTC,Sophia Jenkins,sophiajenkins954@msn.com,,nestli-embrace-sling-carrier,,
Good but takes practice,"Good carrier, my baby seems happy in it. I wish it came in more colors for my wardrobe but functionally it works great. Would recommend.",4,2023-05-11 00:00:00 UTC,Naomi Powell,naomi803@yahoo.com,,nestli-embrace-sling-carrier,,
Baby falls asleep in minutes,Both my husband and I use this with no readjusting. One carrier for both parents — such a smart design. Highly recommend.,5,2023-11-17 00:00:00 UTC,Brian Wright,brian111@icloud.com,,nestli-embrace-sling-carrier,,
My husband uses it more than me,"Been using this for 14 months. Not a single seam has come loose, not a single stitch has broken. This thing is built to last.",5,2025-07-02 00:00:00 UTC,Donald Wright,dwright@outlook.com,,nestli-embrace-sling-carrier,,
Really great carrier,Works great for my petite frame. Had to watch a video to get the fit right but after that it's been perfect. Baby loves the closeness.,4,2024-08-15 00:00:00 UTC,Thomas Perry,perry_t@msn.com,,nestli-embrace-sling-carrier,,
10/10 no notes,My son has reflux and needs to stay upright after feeds. This carrier keeps him perfectly positioned and he's so much more comfortable.,5,2023-08-16 00:00:00 UTC,Patrick Morales,morales_p@msn.com,,nestli-embrace-sling-carrier,,
Finally sleeping again,The fabric is breathable enough that we used it all summer without baby overheating. Such a thoughtful design.,5,2023-09-24 00:00:00 UTC,Nevaeh Cooper,nevaehcooper@outlook.com,,nestli-embrace-sling-carrier,,
Best baby gear purchase,We flew cross-country with our 7-month-old. This carrier fit in my purse and our baby slept through both flights. Worth ten times the price.,5,2023-11-09 00:00:00 UTC,Justin Morales,justin@icloud.com,,nestli-embrace-sling-carrier,,
"Great quality, took time to adjust",Really like this carrier. My husband found it slightly tricky to adjust at first but now he uses it on his own. Baby falls asleep in it often.,4,2024-09-26 00:00:00 UTC,Sophia Hughes,shughes824@gmail.com,,nestli-embrace-sling-carrier,,
"Returned 3 carriers, kept this one",Ordered this as a last resort after my velcro baby refused to be put down for 3 months. Should have ordered it on day 1. So easy to use and baby loves it.,5,2023-07-16 00:00:00 UTC,Gregory Rivera,riverag420@aol.com,,nestli-embrace-sling-carrier,,
"Love it, took a few tries",Good quality product. Baby is content in it and I can actually get things done. Would give 5 stars but it took some practice to get the tightness right.,4,2023-06-29 00:00:00 UTC,Lillian Myers,lillian366@msn.com,,nestli-embrace-sling-carrier,,
My velcro baby is finally calm,The fabric is breathable enough that we used it all summer without baby overheating. Such a thoughtful design.,5,2023-08-13 00:00:00 UTC,Thomas Phillips,phillipst@hotmail.com,,nestli-embrace-sling-carrier,,
Carrier of the year,My second baby is so much calmer than my first was — I think it's entirely because I used this carrier from day 1. Skin-to-skin while getting things done.,5,2023-12-01 00:00:00 UTC,Mila Perry,mperry562@gmail.com,,nestli-embrace-sling-carrier,,
Hands free finally!!!,My baby went from needing to be rocked for 45 minutes to falling asleep in this carrier in under 10 minutes. Life is different now.,5,2025-11-14 00:00:00 UTC,Isabella Brooks,ibrooks116@msn.com,,nestli-embrace-sling-carrier,,
Hands free finally!!!,Took this to Disney World. Walked 12 hours with a 15-month-old in this carrier. My back felt completely fine. My husband was jealous.,5,2024-02-06 00:00:00 UTC,Piper King,pking@hotmail.com,,nestli-embrace-sling-carrier,,
Almost perfect,Solid product. The strap is wide and comfortable. I gave 4 stars because I wish the setup instructions were a bit clearer with pictures. But the carrier itself is great.,4,2023-02-24 00:00:00 UTC,Christopher Gutierrez,christopher578@outlook.com,,nestli-embrace-sling-carrier,,
My pediatrician approved it,Both my husband and I use this with no readjusting. One carrier for both parents — such a smart design. Highly recommend.,5,2025-07-08 00:00:00 UTC,Sophie Hernandez,sophie@hotmail.com,,nestli-embrace-sling-carrier,,
Great for travel,I work from home and wear this during calls. Baby is calm and quiet and I look completely professional. Game changing for WFH moms.,5,2023-07-29 00:00:00 UTC,Steven Kelly,steven_kelly152@aol.com,,nestli-embrace-sling-carrier,,
"Easy to put on, baby loves it",My daughter had colic for 6 weeks and nothing worked. Put her in this carrier and she was asleep in 4 minutes. I literally cried. This carrier saved my sanity.,5,2024-04-17 00:00:00 UTC,Timothy Wright,twright485@live.com,,nestli-embrace-sling-carrier,,
My pediatrician approved it,We flew cross-country with our 7-month-old. This carrier fit in my purse and our baby slept through both flights. Worth ten times the price.,5,2023-07-13 00:00:00 UTC,Hailey Foster,hailey621@outlook.com,,nestli-embrace-sling-carrier,,
My newborn loves it,Was skeptical after spending money on other carriers that hurt my back. This one is genuinely different. Wide padded strap makes all the difference.,5,2025-06-21 00:00:00 UTC,Benjamin Sullivan,sullivan.b@gmail.com,,nestli-embrace-sling-carrier,,
Would recommend with small caveat,Really happy with the purchase. Slight learning curve but nothing that a YouTube tutorial didn't solve. Baby is calm and I'm hands-free.,4,2024-03-02 00:00:00 UTC,Eva Sanchez,eva@live.com,,nestli-embrace-sling-carrier,,
The only carrier I recommend,Ordered this as a last resort after my velcro baby refused to be put down for 3 months. Should have ordered it on day 1. So easy to use and baby loves it.,5,2023-04-25 00:00:00 UTC,Addison Morgan,morgan.a679@msn.com,,nestli-embrace-sling-carrier,,
"Good quality, learning curve",Works well and baby loves it. The ring is a bit stiff at first so adjusting takes some force until it breaks in. After a week it was perfect.,4,2024-12-04 00:00:00 UTC,Stephen Hill,stephen.hill@gmail.com,,nestli-embrace-sling-carrier,,
The only carrier I recommend,"Been using this for 14 months. Not a single seam has come loose, not a single stitch has broken. This thing is built to last.",5,2025-01-20 00:00:00 UTC,Emily Hall,emily.hall123@hotmail.com,,nestli-embrace-sling-carrier,,
Almost perfect,Really happy with the purchase. Slight learning curve but nothing that a YouTube tutorial didn't solve. Baby is calm and I'm hands-free.,4,2023-12-10 00:00:00 UTC,Jessica Baker,jessicabaker240@outlook.com,,nestli-embrace-sling-carrier,,
Wish I had this with my first,Bought this because a mom in my birth class had one. Now 6 women from that class have this carrier. We call ourselves the Nestli moms.,5,2025-09-24 00:00:00 UTC,Daniel Phillips,danielphillips@icloud.com,,nestli-embrace-sling-carrier,,
"Goodbye stroller, hello Nestli",Both my husband and I use this with no readjusting. One carrier for both parents — such a smart design. Highly recommend.,5,2024-04-11 00:00:00 UTC,Nathan Davis,ndavis332@aol.com,,nestli-embrace-sling-carrier,,
Would recommend with small caveat,"Great carrier, my daughter loves it. Took off one star because the instructions could be more detailed. Overall very happy with the purchase.",4,2023-07-21 00:00:00 UTC,Jack Sanders,sanders.j750@aol.com,,nestli-embrace-sling-carrier,,
This is THE one,Baby wouldn't sleep unless I was holding her. Tried this carrier out of desperation at 3am and she passed out within minutes. I've been wearing it every day since.,5,2023-11-11 00:00:00 UTC,Anna Anderson,anderson.a@outlook.com,,nestli-embrace-sling-carrier,,
My baby only sleeps in this now,My son is 20 months and 26 pounds. I still carry him in this when he's tired on walks. Zero shoulder pain.,5,2023-01-18 00:00:00 UTC,Isabella Sullivan,sullivan_i698@msn.com,,nestli-embrace-sling-carrier,,
My pediatrician approved it,My postpartum anxiety was through the roof until I started babywearing. Having her close and being able to feel her breathing calmed both of us down.,5,2023-04-08 00:00:00 UTC,Thomas Morales,morales.t@gmail.com,,nestli-embrace-sling-carrier,,
Baby falls asleep in minutes,Took this to Disney World. Walked 12 hours with a 15-month-old in this carrier. My back felt completely fine. My husband was jealous.,5,2025-08-09 00:00:00 UTC,Adeline Thomas,athomas@msn.com,,nestli-embrace-sling-carrier,,
Finally a carrier that actually works,My husband said carriers looked too complicated. I ordered this without telling him. He tried it once and now he uses it more than I do. He calls it his dad superpower.,5,2024-05-02 00:00:00 UTC,Vanessa Powell,vanessa.powell@gmail.com,,nestli-embrace-sling-carrier,,
My pediatrician approved it,My second baby is so much calmer than my first was — I think it's entirely because I used this carrier from day 1. Skin-to-skin while getting things done.,5,2025-08-04 00:00:00 UTC,Gary Martin,marting699@hotmail.com,,nestli-embrace-sling-carrier,,
Cried happy tears when I tried it,Both my husband and I use this with no readjusting. One carrier for both parents — such a smart design. Highly recommend.,5,2024-01-20 00:00:00 UTC,Nicholas Long,nicholas_long@hotmail.com,,nestli-embrace-sling-carrier,,
My arms don't hurt anymore!,My baby went from needing to be rocked for 45 minutes to falling asleep in this carrier in under 10 minutes. Life is different now.,5,2025-11-17 00:00:00 UTC,Ariana Rivera,arivera4@msn.com,,nestli-embrace-sling-carrier,,
Baby falls asleep in minutes,We flew cross-country with our 7-month-old. This carrier fit in my purse and our baby slept through both flights. Worth ten times the price.,5,2023-02-20 00:00:00 UTC,Ava Clark,clarka@live.com,,nestli-embrace-sling-carrier,,
Solid 4 stars from me,Works well and baby loves it. The ring is a bit stiff at first so adjusting takes some force until it breaks in. After a week it was perfect.,4,2024-09-28 00:00:00 UTC,Genesis Diaz,diazg813@gmail.com,,nestli-embrace-sling-carrier,,
Mostly love this carrier,Really happy with the purchase. Slight learning curve but nothing that a YouTube tutorial didn't solve. Baby is calm and I'm hands-free.,4,2023-04-15 00:00:00 UTC,Timothy Torres,timothy@yahoo.com,,nestli-embrace-sling-carrier,,
"Good carrier, slight adjustment needed",Really great carrier overall. Took me about 3 tries to get the fit right but once I figured it out I love it. Baby seems comfortable and I have both hands free.,4,2025-01-27 00:00:00 UTC,Piper Allen,pallen@hotmail.com,,nestli-embrace-sling-carrier,,
My arms don't hurt anymore!,I was nervous about ring slings but the setup guide was so clear. Had it on correctly the first try. Baby was happy immediately.,5,2023-06-27 00:00:00 UTC,Alexander Fisher,alexander@aol.com,,nestli-embrace-sling-carrier,,
This saved my postpartum,My husband said carriers looked too complicated. I ordered this without telling him. He tried it once and now he uses it more than I do. He calls it his dad superpower.,5,2023-01-15 00:00:00 UTC,Jeffrey Jones,jeffrey@hotmail.com,,nestli-embrace-sling-carrier,,
The only carrier I recommend,Ordered this as a last resort after my velcro baby refused to be put down for 3 months. Should have ordered it on day 1. So easy to use and baby loves it.,5,2025-03-14 00:00:00 UTC,Naomi Robinson,naomi714@live.com,,nestli-embrace-sling-carrier,,
Happy with my purchase,"Great quality, soft fabric, baby seems comfy. Docking one star because mine arrived with a small mark on the fabric. Customer service sorted it quickly though.",4,2023-05-15 00:00:00 UTC,Chloe Martin,cmartin@icloud.com,,nestli-embrace-sling-carrier,,
My husband uses it more than me,My daughter had colic for 6 weeks and nothing worked. Put her in this carrier and she was asleep in 4 minutes. I literally cried. This carrier saved my sanity.,5,2024-06-17 00:00:00 UTC,Brielle King,bking628@aol.com,,nestli-embrace-sling-carrier,,
"Returned 3 carriers, kept this one",I work from home and wear this during calls. Baby is calm and quiet and I look completely professional. Game changing for WFH moms.,5,2023-06-22 00:00:00 UTC,Claire Baker,bakerc@aol.com,,nestli-embrace-sling-carrier,,
Baby falls asleep in minutes,Bought this as a gift for my sister's baby shower. She texted me a week later saying it's the only thing that calms her baby.,5,2023-10-10 00:00:00 UTC,Kevin Carter,kevin_carter292@yahoo.com,,nestli-embrace-sling-carrier,,
Best purchase of 2024,My daughter had colic for 6 weeks and nothing worked. Put her in this carrier and she was asleep in 4 minutes. I literally cried. This carrier saved my sanity.,5,2023-12-29 00:00:00 UTC,Sofia Hughes,sofia199@outlook.com,,nestli-embrace-sling-carrier,,
Airport essential,My husband said carriers looked too complicated. I ordered this without telling him. He tried it once and now he uses it more than I do. He calls it his dad superpower.,5,2023-04-19 00:00:00 UTC,Brielle Wilson,wilson_b130@outlook.com,,nestli-embrace-sling-carrier,,
Cried happy tears when I tried it,Went to the grocery store with both hands free for the first time in 4 months. I actually teared up in the cereal aisle. This carrier is everything.,5,2024-03-03 00:00:00 UTC,Olivia Allen,olivia801@gmail.com,,nestli-embrace-sling-carrier,,
Best carrier I've ever owned,Was skeptical after spending money on other carriers that hurt my back. This one is genuinely different. Wide padded strap makes all the difference.,5,2025-03-26 00:00:00 UTC,Willow Cooper,willow.cooper@aol.com,,nestli-embrace-sling-carrier,,
My velcro baby is finally calm,Baby wouldn't sleep unless I was holding her. Tried this carrier out of desperation at 3am and she passed out within minutes. I've been wearing it every day since.,5,2024-06-26 00:00:00 UTC,Ellie Carter,ellie_carter116@msn.com,,nestli-embrace-sling-carrier,,
My pediatrician approved it,Was skeptical after spending money on other carriers that hurt my back. This one is genuinely different. Wide padded strap makes all the difference.,5,2025-10-23 00:00:00 UTC,Kennedy White,kennedywhite171@live.com,,nestli-embrace-sling-carrier,,
"Returned 3 carriers, kept this one",Bought this as a gift for my sister's baby shower. She texted me a week later saying it's the only thing that calms her baby.,5,2024-06-26 00:00:00 UTC,Julia Hill,hill.j68@yahoo.com,,nestli-embrace-sling-carrier,,
Would recommend with small caveat,"Good carrier, my baby seems happy in it. I wish it came in more colors for my wardrobe but functionally it works great. Would recommend.",4,2024-03-18 00:00:00 UTC,Sarah Ramirez,ramirez_s596@outlook.com,,nestli-embrace-sling-carrier,,
Obsessed with this thing,Took this to Disney World. Walked 12 hours with a 15-month-old in this carrier. My back felt completely fine. My husband was jealous.,5,2024-08-14 00:00:00 UTC,Emery Ortiz,ortize@gmail.com,,nestli-embrace-sling-carrier,,
10/10 no notes,My husband said carriers looked too complicated. I ordered this without telling him. He tried it once and now he uses it more than I do. He calls it his dad superpower.,5,2023-03-07 00:00:00 UTC,Andrew Garcia,agarcia273@aol.com,,nestli-embrace-sling-carrier,,
My arms don't hurt anymore!,My second baby is so much calmer than my first was — I think it's entirely because I used this carrier from day 1. Skin-to-skin while getting things done.,5,2023-06-02 00:00:00 UTC,Ashley Adams,aadams@msn.com,,nestli-embrace-sling-carrier,,
"Great quality, took time to adjust","Good carrier, my baby seems happy in it. I wish it came in more colors for my wardrobe but functionally it works great. Would recommend.",4,2024-01-14 00:00:00 UTC,Aaron Brown,abrown@msn.com,,nestli-embrace-sling-carrier,,
Worth every single penny,Went to the grocery store with both hands free for the first time in 4 months. I actually teared up in the cereal aisle. This carrier is everything.,5,2023-06-29 00:00:00 UTC,Allison Russell,allisonrussell1@gmail.com,,nestli-embrace-sling-carrier,,
Good but takes practice,Love that I can nurse in this with a little practice. Took me a couple of weeks to get the hang of it but now it's seamless. High quality product.,4,2023-02-13 00:00:00 UTC,Sophie Rivera,riveras884@msn.com,,nestli-embrace-sling-carrier,,
Almost perfect,"Great carrier, my daughter loves it. Took off one star because the instructions could be more detailed. Overall very happy with the purchase.",4,2024-06-24 00:00:00 UTC,Hailey Hernandez,hailey@gmail.com,,nestli-embrace-sling-carrier,,
My pediatrician approved it,Bought this because a mom in my birth class had one. Now 6 women from that class have this carrier. We call ourselves the Nestli moms.,5,2023-09-22 00:00:00 UTC,Elizabeth Scott,elizabethscott@outlook.com,,nestli-embrace-sling-carrier,,
Perfection,The fabric is breathable enough that we used it all summer without baby overheating. Such a thoughtful design.,5,2023-09-04 00:00:00 UTC,Isabella Powell,powell.i@aol.com,,nestli-embrace-sling-carrier,,
The only carrier I recommend,I was nervous about ring slings but the setup guide was so clear. Had it on correctly the first try. Baby was happy immediately.,5,2023-09-25 00:00:00 UTC,Valentina Rivera,valentina@hotmail.com,,nestli-embrace-sling-carrier,,
"Fits perfectly, baby loves it",My second baby is so much calmer than my first was — I think it's entirely because I used this carrier from day 1. Skin-to-skin while getting things done.,5,2024-09-20 00:00:00 UTC,Vanessa Sanders,vsanders626@outlook.com,,nestli-embrace-sling-carrier,,
"Great carrier, wish it came with more colors",Works well and baby loves it. The ring is a bit stiff at first so adjusting takes some force until it breaks in. After a week it was perfect.,4,2025-01-27 00:00:00 UTC,Nathan Campbell,ncampbell130@yahoo.com,,nestli-embrace-sling-carrier,,
Solid carrier overall,Comfortable for long carries. Gave 4 stars because the color I received looked slightly different from the website photo. Still looks nice though.,4,2025-07-31 00:00:00 UTC,Rachel Stewart,rachel@gmail.com,,nestli-embrace-sling-carrier,,
Best carrier I've ever owned,Went to the grocery store with both hands free for the first time in 4 months. I actually teared up in the cereal aisle. This carrier is everything.,5,2025-10-10 00:00:00 UTC,Delilah Nguyen,delilah_nguyen368@msn.com,,nestli-embrace-sling-carrier,,
Cried happy tears when I tried it,My second baby is so much calmer than my first was — I think it's entirely because I used this carrier from day 1. Skin-to-skin while getting things done.,5,2024-02-15 00:00:00 UTC,Grace Garcia,garcia_g@aol.com,,nestli-embrace-sling-carrier,,
My sanity saver,My second baby is so much calmer than my first was — I think it's entirely because I used this carrier from day 1. Skin-to-skin while getting things done.,5,2024-01-06 00:00:00 UTC,Jack Allen,jack718@hotmail.com,,nestli-embrace-sling-carrier,,
Amazing quality,Was skeptical after spending money on other carriers that hurt my back. This one is genuinely different. Wide padded strap makes all the difference.,5,2024-09-22 00:00:00 UTC,David Moore,moore_d862@gmail.com,,nestli-embrace-sling-carrier,,
Obsessed with this thing,We flew cross-country with our 7-month-old. This carrier fit in my purse and our baby slept through both flights. Worth ten times the price.,5,2024-08-20 00:00:00 UTC,Madelyn Nguyen,mnguyen@gmail.com,,nestli-embrace-sling-carrier,,
